month_year,substance,n
202506,psychostimulants,18
202506,inhalants/solvents,7
202506,heroin,4
202506,methadone,3
202506,other psychodysleptics,2
202506,hallucinogens,1
202507,antidepressants,70
202507,cannabis,54
202507,synthetic narcotics,54
202507,other opioids,53
202507,alcohol,49
202507,benzodiazepines,37
202507,antipsychotics/neuroleptics,28
202507,other narcotics,28
202507,cocaine,23
202507,psychostimulants,15
202507,inhalants/solvents,8
202507,heroin,5
202507,methadone,2
202507,other psychodysleptics,2
202507,barbiturates,1
202507,hallucinogens,1
202507,other psychotropics,1
202508,synthetic narcotics,56
202508,cannabis,54
202508,antidepressants,51
202508,antipsychotics/neuroleptics,41
202508,other opioids,39
202508,alcohol,33
202508,benzodiazepines,20
202508,other narcotics,19
202508,cocaine,15
202508,psychostimulants,13
202508,inhalants/solvents,8
202508,heroin,2
202508,hallucinogens,1
202508,methadone,1
202509,cannabis,64
202509,antidepressants,62
202509,synthetic narcotics,55
202509,alcohol,54
202509,other opioids,47
202509,psychostimulants,29
202509,cocaine,28
202509,antipsychotics/neuroleptics,27
202509,benzodiazepines,27
202509,other narcotics,20
202509,inhalants/solvents,10
202509,heroin,4
202509,methadone,2
202509,barbiturates,1
202510,antidepressants,58
202510,synthetic narcotics,40
202510,cannabis,36
202510,other opioids,29
202510,antipsychotics/neuroleptics,27
202510,benzodiazepines,25
202510,alcohol,19
202510,other narcotics,14
202510,psychostimulants,13
202510,inhalants/solvents,5
202510,cocaine,2
202510,heroin,2
202510,methadone,1
